ProjectName,ProjectDeveloper,ProjectOwner,State,County,Latitude,Longitude,Capacity,CurrentPhase,TimelineDays,OnlyCanceled,ArtificialEnd,OperatingDateFirst,PhaseHistory,,,,,,,,,,,,,,,,,,,,,,,
Elk River Wind Project II,Elk River II,Elk River II,KS,Cowley,37.4385,-96.5444,250,Canceled,1557,Yes,No,No,Canceled:3/2/2009,Postponed:3/16/2006,Proposed:11/26/2004,,,,,,,,,,,,,,,,,,,,,
Elk River Windfarm,Elk River Windfarm,Elk River Windfarm,KS,Butler,37.602,-96.5556,150,Operating,1043,No,No,No,Operating:12/16/2005,Under Const:5/23/2005,Permitted:12/17/2003,Proposed:2/7/2003,,,,,,,,,,,,,,,,,,,,
Elk Wind Farm,Elk Wind Energy,Elk Wind Energy,IA,Delaware,42.5862,-91.362,41.25,Operating,1252,No,No,No,Operating:12/5/2011,Testing:10/1/2011,Under Const:5/2/2011,Site Prep:12/15/2010,Proposed:7/1/2008,,,,,,,,,,,,,,,,,,,
Elkhorn Ridge Wind,Elkhorn Ridge Wind,Elkhorn Ridge Wind,NE,Knox,42.6685,-97.6591,81,Operating,364,No,No,No,Operating:3/16/2009,Under Const:4/29/2008,Proposed:3/17/2008,,,,,,,,,,,,,,,,,,,,,
Elkhorn Valley Wind,Telocaset Wind Power Partners,Telocaset Wind Power Partners,OR,Union,45.1147,-117.8463,100.7,Canceled,1763,No,No,No,Canceled:9/24/2013,App Pending:3/9/2009,Proposed:10/22/2008,Operating:12/28/2007,Under Const:3/27/2007,Permitted:6/27/2005,App Pending:3/3/2003,Proposed:3/1/2003,,,,,,,,,,,,,,,,
Ellenburg Windfield,Noble Wind Operation,Noble Ellenburg Windpark,NY,Clinton,44.8661,-73.9637,81,Canceled,1233,No,No,No,Canceled:9/24/2014,Postponed:4/30/2013,Proposed:10/31/2011,Operating:5/18/2008,Under Const:12/22/2006,Permitted:11/9/2006,App Pending:12/22/2005,Proposed:1/1/2005,,,,,,,,,,,,,,,,
Ellensburg W1,Fresh Air Energy II,Fresh Air Energy II,WA,Kittitas,47.13,-120.501,78,Proposed,280,No,Yes,No,Proposed:1/25/2018,,,,,,,,,,,,,,,,,,,,,,,
Elm Creek Wind Project,Elm Creek Wind,Elm Creek Wind,MN,Jackson,43.7573,-94.9386,100.5,Operating,549,No,No,No,Operating:12/15/2008,Testing:11/20/2008,Under Const:7/12/2008,Proposed:6/15/2007,,,,,,,,,,,,,,,,,,,,
Emerson Creek Wind,Emerson Creek Wind,Emerson Creek Wind,OH,Huron,41.2057,-82.6662,300,Proposed,2800,No,Yes,No,Proposed:3/3/2011,,,,,,,,,,,,,,,,,,,,,,,
Emerson West Wind,Apex Clean Energy,Apex Clean Energy,OH,Seneca,41.1939,-82.9177,200,Proposed,563,No,Yes,No,Proposed:4/17/2017,,,,,,,,,,,,,,,,,,,,,,,
Empire Wind,RES Americas Developments,RES Americas Developments,NY,Rensselaer,42.5432,-73.8806,120,Proposed,1077,No,Yes,No,Proposed:11/20/2015,,,,,,,,,,,,,,,,,,,,,,,
Empire Wind Project,Empire District Electric Co (The),Empire District Electric Co (The),MO,Jasper,37.2416,-94.0892,600,Permitted,365,No,Yes,No,Permitted:7/12/2018,Proposed:11/1/2017,,,,,,,,,,,,,,,,,,,,,,
Enbridge Ontario Wind Power Project,Vestas Wind Systems,Enbridge (U S),ON,,44.313,-81.4636,189.75,Operating,1842,No,No,No,Operating:3/31/2009,Testing:12/1/2008,Under Const:7/21/2007,Permitted:7/17/2007,App Pending:11/29/2006,Proposed:3/15/2004,,,,,,,,,,,,,,,,,,
Enchanted Wind Farm,Pacific Winds,Pacific Winds,NM,Lea,32.8207,-103.4265,147,Canceled,919,Yes,No,No,Canceled:10/7/2011,Postponed:6/16/2011,Proposed:4/1/2009,,,,,,,,,,,,,,,,,,,,,
Enchanted Winds,Palmer Wind Power,Palmer Wind Power,NM,Torrance,34.344,-105.502,20,Postponed,986,No,Yes,No,Postponed:2/19/2018,Proposed:2/19/2016,,,,,,,,,,,,,,,,,,,,,,
Endeavor Wind Farm,Osceola Windpower,Osceola Windpower,IA,Osceola,43.433,-95.4506,100,Operating,1079,No,No,No,Operating:7/1/2008,Under Const:9/1/2006,Proposed:7/18/2005,,,,,,,,,,,,,,,,,,,,,
Energia Limpia de Palo Alto,Energia Limpia de Palo Alto S de RL de CV,Energia Limpia de Palo Alto S de RL de CV,JAL,,21.8582,-101.842,129,Operating,614,No,No,No,Operating:11/1/2016,Proposed:2/26/2015,,,,,,,,,,,,,,,,,,,,,,
Energia Sierra Juarez,Energia Sierra Jaurez S de RL de CV,Energia Sierra Jaurez S de RL de CV,BCN,,32.6086,-116.1045,155.1,Canceled,2911,No,No,No,Canceled:12/19/2017,Feasibility:2/16/2017,Operating:6/18/2015,Under Const:4/23/2014,App Pending:8/20/2010,Proposed:8/14/2009,Proposed:6/29/2007,,,,,,,,,,,,,,,,,
Energy Nevada Wind Project,Energy Nevada,Energy Nevada,NV,Humboldt,41.2903,-117.221,100,Canceled,715,Yes,No,No,Canceled:12/1/2006,Proposed:12/16/2004,,,,,,,,,,,,,,,,,,,,,,
Energy Unlimited Painted Hills,HH Management,Painted Hills Wind Developers,CA,Riverside,33.9243,-116.628,19.5,Proposed,3592,No,Yes,No,Proposed:12/31/2008,,,,,,,,,,,,,,,,,,,,,,,
English Farms I Wind Project,English Farms Wind Project,English Farms Wind Project,IA,Poweshiek,41.5924,-92.4562,169.9,Under Const,1054,Yes,No,No,Under Const:5/1/2018,Permitted:2/1/2018,Canceled:8/20/2012,Proposed:10/1/2009,Feasibility:2/15/2008,,,,,,,,,,,,,,,,,,,
Enterprise Wind Energy Project,Clipper Windpower,Clipper Windpower,IA,Carroll,42.0175,-95.1266,70,Canceled,2250,Yes,No,No,Canceled:6/30/2014,Postponed:9/19/2013,Permitted:8/4/2008,Proposed:5/2/2008,,,,,,,,,,,,,,,,,,,,
Enxco Boone County Wind,EDF Renewable Energy,EDF Renewable Energy,IN,Boone,40.0674,-86.6212,195,Canceled,949,Yes,No,No,Canceled:4/2/2012,Proposed:8/27/2009,,,,,,,,,,,,,,,,,,,,,,
Eoliatec Del Istmo,EDF Energies Nouvelles,EDF Energies Nouvelles,OAX,,16.4842,-94.985,26,Operating,727,No,No,No,Operating:12/14/2012,Operating:7/9/2012,Operating:1/12/2011,Proposed:1/15/2009,,,,,,,,,,,,,,,,,,,,
Eoliatec Del Pacifico,EDF Energies Nouvelles,EDF Energies Nouvelles,OAX,,16.5407,-94.8092,160,Operating,1958,No,No,No,Operating:2/18/2014,Under Const:12/23/2013,Proposed:10/9/2008,,,,,,,,,,,,,,,,,,,,,
Eolica Santa Catarina,Econergy,Econergy,NLN,,25.6683,-100.4614,20.8,Operating,1769,No,No,No,Operating:6/25/2013,Under Const:8/1/2012,Site Prep:10/11/2011,Proposed:8/21/2008,,,,,,,,,,,,,,,,,,,,
Eolico de Arriaga Wind Farm,Power Generation Mexican (REM),Power Generation Mexican (REM),CHS,,16.433,-92.6986,28.8,Operating,335,No,No,No,Operating:5/31/2012,Proposed:7/1/2011,,,,,,,,,,,,,,,,,,,,,,
Eos Ventures Offshore Project,Eos Ventures,Eos Ventures,ME,Offshore,43.9441,-68.6128,4.5,Canceled,1077,Yes,No,No,Canceled:6/15/2012,Proposed:7/4/2009,,,,,,,,,,,,,,,,,,,,,,
Equinox Wind Farm,Equinox Mountain Windpower,Endless Energy,VT,Bennington,43.1665,-73.1139,5,Canceled,4090,Yes,No,No,Canceled:5/10/2012,Postponed:5/17/2010,Proposed:2/27/2001,,,,,,,,,,,,,,,,,,,,,
Erie Shores Wind Farm,General Electric Wind Energy,Clean Powerome Fund,ON,,42.6675,-80.9055,4.5,Canceled,935,No,No,No,Canceled:11/26/2013,Proposed:3/26/2007,Operating:5/24/2006,Testing:5/1/2006,Operating:4/14/2006,Under Const:6/29/2005,Proposed:9/22/2003,,,,,,,,,,,,,,,,,
Erieau Wind Farm,GDF SUEZ Canada,Mit Renewables,ON,,42.3013,-81.9502,99,Operating,2677,No,No,No,Operating:5/1/2013,Testing:4/1/2013,Under Const:12/17/2012,Proposed:1/1/2006,,,,,,,,,,,,,,,,,,,,
Ernestown Windpark,Ernestown Windpark,Ernestown Windpark,ON,,44.2258,-76.7184,10,Operating,739,No,No,No,Operating:10/21/2014,Testing:9/15/2014,Under Const:12/4/2013,Permitted:8/12/2013,Proposed:10/12/2012,,,,,,,,,,,,,,,,,,,
ESI,AES Wind Generation,VPI Enterprises,CA,Alameda,37.74,-121.609,-1.2,Proposed,518,No,Yes,No,Proposed:6/1/2017,Retired:1/1/2007,,,,,,,,,,,,,,,,,,,,,,
Espiritu Wind,Apex Clean Energy,Apex Clean Energy,TX,Cameron,26.2699,-97.5259,148,Proposed,961,No,Yes,No,Proposed:3/15/2016,,,,,,,,,,,,,,,,,,,,,,,
Euclid Wind (MN),Air Energy Tci,Air Energy Tci,MN,Polk,47.4803,-96.2499,150,Canceled,1119,Yes,No,No,Canceled:11/19/2014,Postponed:7/23/2014,Proposed:10/27/2011,,,,,,,,,,,,,,,,,,,,,
Euiph Wind Farm,Energy Unlimited,American Refining & Biochemical,CA,Riverside,33.9408,-116.6315,-25.4,Operating,2975,No,No,No,Operating:4/1/2016,Proposed:2/8/2008,,,,,,,,,,,,,,,,,,,,,,
Eva Creek Windfarm,Golden Valley Electric Association,Golden Valley Electric Association,AK,Denali Borough,64.0438,-148.8883,24.6,Operating,922,No,No,No,Operating:10/27/2012,Under Const:4/1/2012,Site Prep:10/17/2011,Permitted:10/15/2011,App Pending:10/1/2010,Proposed:4/19/2010,,,,,,,,,,,,,,,,,,
Ewiiaapaayp Wind Project,Superior Renewable Energy,Babcock & Brown,CA,San Diego,32.8555,-116.3974,37.5,Canceled,1730,Yes,No,No,Canceled:6/30/2009,Proposed:10/4/2004,,,,,,,,,,,,,,,,,,,,,,
Ewington Energy Wind Project,Ewington Energy Systems,BC Energy,MN,Jackson,43.6179,-95.4175,19.95,Operating,455,No,No,No,Operating:1/1/2008,Proposed:10/3/2006,,,,,,,,,,,,,,,,,,,,,,
Excelsior Windpower,Excelsior Windpower,Excelsior Windpower,SK,,50.2128,-107.7916,18,Canceled,1587,Yes,No,No,Canceled:3/31/2014,Proposed:11/25/2009,,,,,,,,,,,,,,,,,,,,,,
Exelon Wind 1,Exelon Wind 1,Exelon Wind 1,TX,Hansford,36.4986,-101.4872,10,Retired,156,No,No,No,Retired:6/30/2017,Proposed:3/31/2017,Operating:12/31/2005,Under Const:9/1/2005,Proposed:7/28/2005,,,,,,,,,,,,,,,,,,,
Exelon Wind 10,Exelon Wind 10,Exelon Wind 10,TX,Moore,35.9614,-101.8033,10,Operating,292,No,No,No,Operating:7/1/2008,Under Const:3/5/2008,Proposed:9/13/2007,,,,,,,,,,,,,,,,,,,,,
Exelon Wind 11,Exelon Wind 11,Exelon Wind 11,TX,Moore,35.8166,-101.9805,10,Operating,292,No,No,No,Operating:7/1/2008,Testing:5/1/2008,Under Const:3/5/2008,Proposed:9/13/2007,,,,,,,,,,,,,,,,,,,,
Exelon Wind 2,Exelon Wind 2,Exelon Wind 2,TX,Hansford,36.4886,-101.4507,10,Retired,156,No,No,No,Retired:6/30/2017,Operating:12/31/2005,Under Const:9/1/2005,Proposed:7/28/2005,,,,,,,,,,,,,,,,,,,,
Exelon Wind 3,Exelon Wind 3,Exelon Wind 3,TX,Hansford,36.4419,-101.3414,10,Retired,156,No,No,No,Retired:6/30/2017,Operating:12/31/2005,Under Const:9/1/2005,Proposed:7/28/2005,,,,,,,,,,,,,,,,,,,,
Exelon Wind 4,Exelon Wind 4,Exelon Wind 4,TX,Hansford,36.3859,-101.3721,80,Operating,14,No,No,No,Operating:12/15/2006,Proposed:12/1/2006,,,,,,,,,,,,,,,,,,,,,,
Exelon Wind 5,Exelon Wind 5,Exelon Wind 5,TX,Sherman,36.4455,-101.8688,10,Operating,3,No,No,No,Operating:10/4/2005,Proposed:10/1/2005,,,,,,,,,,,,,,,,,,,,,,
Exelon Wind 6,Exelon Wind 6,Exelon Wind 6,TX,Sherman,36.4672,-101.8144,10,Operating,304,No,No,No,Operating:11/1/2006,Under Const:7/1/2006,Proposed:1/1/2006,,,,,,,,,,,,,,,,,,,,,
Exelon Wind 7,Exelon Wind 7,Exelon Wind 7,TX,Moore,35.9955,-101.8595,10,Operating,292,No,No,No,Operating:7/1/2008,Testing:3/5/2008,Proposed:9/13/2007,,,,,,,,,,,,,,,,,,,,,
Exelon Wind 8,Exelon Wind 8,Exelon Wind 8,TX,Moore,36.0248,-101.8903,10,Operating,292,No,No,No,Operating:7/1/2008,Testing:3/5/2008,Proposed:9/13/2007,,,,,,,,,,,,,,,,,,,,,
Exelon Wind 9,Exelon Wind 9,Exelon Wind 9,TX,Moore,35.9637,-101.8389,10,Operating,292,No,No,No,Operating:7/1/2008,Testing:3/5/2008,Proposed:9/13/2007,,,,,,,,,,,,,,,,,,,,,
Fair Wind Project,Fair Wind Power Partners,Fair Wind Power Partners,MD,Garrett,39.3135,-79.4007,30,Operating,2995,No,No,No,Operating:11/1/2015,Under Const:9/24/2015,Proposed:8/20/2007,,,,,,,,,,,,,,,,,,,,,
Fairfield Wind,Greenbacker Renewable Energy Co,Greenbacker Renewable Energy Co,MT,Teton,47.717,-111.961,10,Operating,1001,No,No,No,Operating:5/13/2014,Under Const:10/1/2013,Proposed:8/16/2011,,,,,,,,,,,,,,,,,,,,,
Fairhaven Wind,Fairhaven Wind,Fairhaven Wind,MA,Bristol,41.6383,-70.8747,3.3,Operating,2041,No,No,No,Operating:5/3/2012,Under Const:3/11/2012,Site Prep:11/11/2011,App Pending:4/14/2008,Proposed:10/1/2006,,,,,,,,,,,,,,,,,,,
Fairmont Energy Station,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,MN,,43.658,-94.4653,2,Operating,160,No,No,No,Operating:6/30/2014,Under Const:10/15/2012,Retired:1/1/2010,Operating:12/1/2004,Operating:3/17/2003,Under Const:12/3/2002,Proposed:10/8/2002,,,,,,,,,,,,,,,,,
Fairmont Wind,Avangrid Renewables,Avangrid Renewables,CA,Kern,34.7347,-118.4231,201,Canceled,877,Yes,No,No,Canceled:12/27/2006,Proposed:8/2/2004,,,,,,,,,,,,,,,,,,,,,,
Fairmont Wind Farm (MB),Schneider Power,Schneider Power,MB,,49.9283,-99.9064,345,Canceled,1532,Yes,No,No,Canceled:6/30/2011,Postponed:12/29/2010,Proposed:4/20/2007,,,,,,,,,,,,,,,,,,,,,
Fairmont Wind Farm (NS),Wind Prospect Developments Ltd,Wind Prospect Developments Ltd,NS,,45.6916,-61.985,4,Operating,1035,No,No,No,Operating:11/21/2012,Proposed:1/21/2010,,,,,,,,,,,,,,,,,,,,,,
Fairview Wind Farm,WPD,WPD,ON,,44.4093,-80.137,18.4,Canceled,621,Yes,No,No,Canceled:8/23/2017,Permitted:2/17/2016,Proposed:7/24/2014,Canceled:2/21/2013,Proposed:6/11/2011,,,,,,,,,,,,,,,,,,,
Falconbridge Windfarm Project,Falconbridge Wind,Falconbridge Wind,ON,,46.557,-80.776,150,Canceled,963,Yes,No,No,Canceled:3/20/2018,Proposed:7/31/2015,,,,,,,,,,,,,,,,,,,,,,
Falvez Astra W,Sinovel Wind Group Co Ltd,Astra Wind,TX,Randall,34.78,-102.04,238.5,Operating,1983,No,No,No,Operating:5/27/2017,Testing:4/3/2017,Under Const:1/31/2017,App Pending:8/22/2016,Canceled:5/2/2013,Proposed:12/22/2011,,,,,,,,,,,,,,,,,,
Farm Wind Energy,Farm Wind Energy,Farm Wind Energy,MI,Houghton,47.072,-88.663,11.9,Proposed,869,No,Yes,No,Proposed:6/15/2016,,,,,,,,,,,,,,,,,,,,,,,
Farmersville Windfield,Noble Environmental Power,Noble Environmental Power,NY,Cattaraugus,42.2505,-78.5956,105,Canceled,1214,Yes,No,No,Canceled:10/26/2009,Postponed:12/16/2008,Proposed:6/30/2006,,,,,,,,,,,,,,,,,,,,,
Fenner Wind,Canastota Windpower,Canastota Windpower,NY,Madison,42.9941,-75.7623,30,Operating,1065,No,No,No,Operating:11/30/2001,Under Const:7/25/2001,Proposed:12/31/1998,,,,,,,,,,,,,,,,,,,,,
Fenton Wind Power Plant,Fenton Power Partners,Fenton Power Partners,MN,Murray,43.8817,-95.9231,205.5,Operating,720,No,No,No,Operating:11/13/2007,Under Const:9/1/2006,Permitted:4/6/2006,App Pending:11/28/2005,Proposed:11/23/2005,,,,,,,,,,,,,,,,,,,
Fermeuse Wind Farm (NL),Canadian Hydro Developers,Canadian Hydro Developers,NL,,46.9865,-53.0107,27,Operating,1256,No,No,No,Operating:7/6/2009,Under Const:1/12/2009,Permitted:9/22/2006,App Pending:7/7/2006,Proposed:1/27/2006,,,,,,,,,,,,,,,,,,,
Ferndale Wind Farm,Sky Generation,Sky Generation,ON,,44.9462,-81.2631,1.8,Operating,281,No,No,No,Operating:5/8/2007,Proposed:2/27/2007,Operating:10/31/2006,Under Const:1/1/2006,Proposed:9/28/2005,Operating:11/30/2002,Under Const:10/23/2002,Proposed:2/22/2002,,,,,,,,,,,,,,,,
Fey Windfarm,Fey Windfarm,Fey Windfarm,MN,Pipestone,44.0362,-96.0692,2,Operating,5,No,No,No,Operating:9/5/2003,Proposed:8/31/2003,,,,,,,,,,,,,,,,,,,,,,
Findlay Wind Farm,Whirlpool,One Energy,OH,Hancock,41.0985,-83.6291,3,Operating,309,No,No,No,Operating:12/1/2015,Under Const:6/15/2015,Proposed:1/26/2015,,,,,,,,,,,,,,,,,,,,,
Findley Mtn Ag Energy 1 Wind,Findley Mtn Ag Energy 1,Findley Mtn Ag Energy 1,OR,Malheur,43.2178,-117.5639,0.256,Operating,214,No,No,No,Operating:5/1/2009,Proposed:9/29/2008,,,,,,,,,,,,,,,,,,,,,,
Fire Island,Winergy Power,Winergy Power,NY,Offshore,40.6486,-73.0533,226.8,Canceled,1349,Yes,No,No,Canceled:11/28/2006,Postponed:10/28/2004,Proposed:3/20/2003,,,,,,,,,,,,,,,,,,,,,
Fire Island Wind Project,Fire Island Wind,Fire Island Wind,AK,Anchorage Borough,61.137,-150.2299,17.6,Canceled,3060,No,No,No,Canceled:3/6/2018,Canceled:12/6/2017,Proposed:2/2/2015,Site Prep:10/2/2013,Operating:9/25/2012,Testing:8/16/2012,Under Const:7/1/2012,Site Prep:10/19/2011,Permitted:10/11/2011,Proposed:6/15/2011,App Pending:6/8/2010,Proposed:5/10/2004,,,,,,,,,,,,
Firelands Wind,Apex Clean Energy,Apex Clean Energy,OH,Erie,41.2808,-82.7568,99,Canceled,819,Yes,No,No,Canceled:1/18/2017,Postponed:1/28/2016,Proposed:10/22/2014,,,,,,,,,,,,,,,,,,,,,
Fishermens Energy of New Jersey,Fishermens Energy of New Jersey,Fishermens Energy of New Jersey,NJ,Offshore,39.315,-74.4047,330,App Pending,2206,Yes,No,No,App Pending:9/5/2018,Canceled:6/30/2017,Postponed:5/2/2016,Permitted:4/18/2016,Feasibility:5/7/2014,Canceled:3/19/2014,Postponed:7/21/2013,Permitted:7/19/2012,App Pending:10/4/2008,Proposed:3/4/2008,,,,,,,,,,,,,,
Five Fathom,Winergy Power,Winergy Power,NJ,Offshore,38.9058,-74.6397,1206,Canceled,1314,Yes,No,No,Canceled:12/11/2008,Canceled:10/24/2006,Postponed:3/25/2005,Proposed:3/20/2003,,,,,,,,,,,,,,,,,,,,
Flat Hill Windpark I,Noble Flat Hill Windpark I,Noble Flat Hill Windpark I,MN,Clay,46.9477,-96.5682,201,Canceled,3273,Yes,No,No,Canceled:9/22/2017,Postponed:5/18/2016,Permitted:12/11/2009,App Pending:12/23/2008,Proposed:10/6/2008,,,,,,,,,,,,,,,,,,,
Flat Hills Wind,Kruger,Kruger,NL,,50.114,-57.6693,24,Canceled,538,Yes,No,No,Canceled:2/8/2006,Permitted:10/28/2004,Proposed:8/19/2004,,,,,,,,,,,,,,,,,,,,,
Flat Ridge 2 Wind Farm,Ae Power Services,Flat Ridge 2 Wind Energy,KS,,37.3785,-98.2558,470.2,Canceled,457,No,No,No,Canceled:9/23/2014,Proposed:1/14/2013,Operating:1/3/2013,Testing:10/1/2012,Under Const:1/17/2012,Proposed:10/4/2011,,,,,,,,,,,,,,,,,,
Flat Ridge 3 Wind Farm,Flat Ridge 3 Holdings,Flat Ridge 3 Holdings,KS,Kingman,37.3893,-98.4464,130,Canceled,1182,Yes,No,No,Canceled:12/30/2014,Postponed:4/17/2014,Proposed:10/5/2011,,,,,,,,,,,,,,,,,,,,,
Flat Ridge Wind Farm,Flat Ridge Wind Energy,Flat Ridge Wind Energy,KS,Barber,37.3715,-98.4596,100,Operating,521,No,No,No,Operating:3/5/2009,Testing:2/12/2009,Under Const:6/24/2008,Site Prep:5/5/2008,Proposed:10/1/2007,,,,,,,,,,,,,,,,,,,
Flat Rock Wind,Flat Rock Wind,Flat Rock Wind,IN,Henry,39.7897,-85.3696,180,Permitted,1471,No,Yes,No,Permitted:5/27/2015,Proposed:10/22/2014,,,,,,,,,,,,,,,,,,,,,,
Flat Water Wind Farm,enXco Service,Pawnee Wind Farm,NE,Richardson,40.0129,-95.9075,60,Proposed,514,No,No,No,Proposed:1/23/2014,Operating:12/6/2010,Under Const:2/9/2010,Proposed:7/10/2009,,,,,,,,,,,,,,,,,,,,
Fletcher Mountain Wind,Avangrid Renewables,Avangrid Renewables,ME,Somerset,45.0395,-69.9412,97.1,Canceled,2740,Yes,No,No,Canceled:4/1/2018,Proposed:9/30/2010,,,,,,,,,,,,,,,,,,,,,,
Floyd County Wind Farm,MidAmerican Energy Co,MidAmerican Energy Co,IA,Floyd,43.0273,-92.7174,75,Operating,223,No,No,No,Operating:4/30/2008,Testing:3/1/2008,Under Const:12/10/2007,Proposed:9/20/2007,,,,,,,,,,,,,,,,,,,,
Flying Cloud,Flying Cloud Power Partners,Flying Cloud Power Partners,IA,Dickinson,43.3773,-95.3208,43.5,Operating,587,No,No,No,Operating:12/9/2003,Under Const:10/3/2003,Proposed:5/1/2002,,,,,,,,,,,,,,,,,,,,,
Foard City Wind,Foard City Wind,Foard City Wind,TX,Foard,33.8842,-99.7991,352.8,App Pending,778,No,Yes,No,App Pending:7/31/2017,Proposed:9/14/2016,,,,,,,,,,,,,,,,,,,,,,
Ford Ridge Wind Project,Ford County Wind Farm,Ford County Wind Farm,IL,Ford,40.5642,-88.3581,124,Proposed,2861,Yes,No,No,Proposed:2/15/2018,Canceled:11/22/2016,Permitted:11/2/2009,Proposed:1/22/2009,,,,,,,,,,,,,,,,,,,,
Forest Creek Wind Farm,Forest Creek Wind Farm,Forest Creek Wind Farm,TX,Sterling,32.0395,-101.2077,124.2,Operating,739,No,No,No,Operating:3/30/2007,Testing:12/1/2006,Under Const:4/20/2006,Proposed:3/21/2005,,,,,,,,,,,,,,,,,,,,
Fort Alexander Wind,Westman Wind Power Co,Westman Wind Power Co,MB,,50.4578,-96.3781,33,Canceled,1940,Yes,No,No,Canceled:6/30/2011,Postponed:1/1/2011,Proposed:3/8/2006,,,,,,,,,,,,,,,,,,,,,
Fort Concho Wind Farm,EDP Renewables North America,EDP Renewables North America,TX,Tom Green,31.4186,-100.3806,400,Canceled,2313,Yes,No,No,Canceled:12/31/2014,Postponed:7/23/2012,Proposed:8/31/2008,,,,,,,,,,,,,,,,,,,,,
Fort Erie Wind Project,Stelco,Georgian Windpower,ON,,42.8311,-80.0961,200,Canceled,53,Yes,No,No,Canceled:6/13/2007,Postponed:7/10/2006,Proposed:8/27/2005,Canceled:4/15/2005,Proposed:2/21/2005,,,,,,,,,,,,,,,,,,,
Fort Saskatchewan WAGF,EDF Energies Nouvelles,EDF Energies Nouvelles,AB,,53.7007,-113.2095,300,Proposed,729,No,Yes,No,Proposed:11/2/2016,,,,,,,,,,,,,,,,,,,,,,,
Forty Mile Wind,Renewable Energy Systems Canada,Renewable Energy Systems Canada,AB,,49.5536,-111.1561,400,Proposed,820,No,Yes,No,Proposed:11/2/2016,Proposed:8/3/2016,,,,,,,,,,,,,,,,,,,,,,
Forward Wind Energy Center,Forward Energy,Forward Energy,WI,Dodge,43.6344,-88.4797,99,Operating,1402,No,No,No,Operating:5/20/2008,Under Const:5/1/2008,Under Const:7/25/2007,Permitted:7/14/2005,App Pending:9/29/2004,Proposed:7/18/2004,,,,,,,,,,,,,,,,,,
Forward Windpower,Forward Windpower,Forward Windpower,PA,Somerset,40.1002,-78.8641,27,Operating,1826,No,No,No,Operating:6/30/2008,Testing:3/19/2008,Under Const:7/20/2007,Proposed:7/1/2003,,,,,,,,,,,,,,,,,,,,
Fossil Gulch Wind Park,Colorado & Sante Fe Energy Co,Colorado & Sante Fe Energy Co,ID,Gooding,42.8583,-114.9496,10.5,Operating,179,No,No,No,Operating:2/14/2005,Proposed:8/19/2004,,,,,,,,,,,,,,,,,,,,,,
Foundation CDCR LAC,Foundation CA Fund VIII Manager,Foundation CA Fund VIII Owner,CA,Monterey,34.6934,-118.2276,1.85,Operating,248,No,No,No,Operating:12/1/2017,Under Const:8/31/2017,Proposed:3/28/2017,,,,,,,,,,,,,,,,,,,,,
Foundation NWNA Cabazon Project,Foundation CA Fund V Manager,Foundation CA Fund V Owner,CA,Riverside,33.916,-116.749,3.2,Permitted,611,No,Yes,Yes,Permitted:7/1/2018,App Pending:3/1/2018,Proposed:2/28/2017,Operating:12/1/2012,,,,,,,,,,,,,,,,,,,,
Foundation ST Wind Project,Foundation Windpower,Foundation Windpower,CA,San Joaquin,37.7134,-121.5209,2,Operating,637,No,No,No,Operating:5/4/2011,Proposed:8/5/2009,,,,,,,,,,,,,,,,,,,,,,
Fourmile Ridge Wind,Fourmile Wind Energy,Fourmile Wind Energy,MD,Garrett,39.6222,-79.0245,40,Operating,2496,No,No,No,Operating:12/1/2014,Under Const:7/31/2014,Site Prep:4/18/2014,Permitted:4/24/2013,App Pending:1/14/2013,Proposed:1/31/2008,,,,,,,,,,,,,,,,,,
Fox Hill Wind (AES),AES Fox Hill Wind,AES Fox Hill Wind,PA,Potter,41.8339,-77.7519,15,Canceled,2126,Yes,No,No,Canceled:7/11/2013,Postponed:10/29/2011,App Pending:3/11/2011,Proposed:7/15/2009,Proposed:9/15/2007,,,,,,,,,,,,,,,,,,,
Fox Islands Wind Project,Fox Islands Wind,Fox Islands Wind,ME,Knox,44.0926,-68.8663,4.5,Operating,474,No,No,No,Operating:11/17/2009,Under Const:6/30/2009,Permitted:5/13/2009,Proposed:7/31/2008,,,,,,,,,,,,,,,,,,,,
Foxtail Wind Farm,Xcel Energy,Xcel Energy,ND,Dickey,46.1221,-98.4677,150,Under Const,737,No,Yes,No,Under Const:8/11/2018,Permitted:3/1/2018,Proposed:10/25/2016,,,,,,,,,,,,,,,,,,,,,
Foymount Wind Farm,International Power Canada,International Power Canada,ON,,45.4364,-77.3193,10,Canceled,424,Yes,No,No,Canceled:9/8/2008,Proposed:7/12/2007,,,,,,,,,,,,,,,,,,,,,,
FPL Energy Illinois Wind,NextEra Energy Resources,NextEra Energy Resources,IL,Lee,41.8095,-88.9374,21.4,Canceled,519,Yes,No,No,Canceled:3/18/2004,Proposed:10/16/2002,,,,,,,,,,,,,,,,,,,,,,
FPL Montezuma Wind Project,High Winds,High Winds,CA,Solano,38.1392,-121.8002,145.8,Operating,683,No,No,No,Operating:2/1/2012,Testing:1/1/2012,App Pending:3/7/2011,Operating:11/20/2010,Proposed:7/15/2010,Under Const:5/1/2010,Proposed:8/23/2009,Canceled:4/30/2009,Proposed:4/1/2005,Operating:1/1/2004,Under Const:9/8/2003,Operating:8/1/2003,Proposed:7/23/2003,Under Const:2/4/2003,Proposed:9/17/2001,,,,,,,,,
